Age,Team,Home,Win,Game Started,Total RB,AST,PTS
23.96646133,CHI,0,0,1,7,5,36
23.98015058,CHI,1,1,1,3,4,29
23.98836413,CHI,1,1,1,3,6,45
23.99110198,CHI,0,1,1,2,8,33
23.99657769,CHI,1,0,1,7,6,43
24.00821355,CHI,1,0,1,2,5,33
24.01368925,CHI,1,1,1,4,6,43
24.01916496,CHI,1,1,1,12,2,34
24.02464066,CHI,1,1,1,8,3,58
24.03011636,CHI,1,1,1,6,2,37
24.03285421,CHI,0,0,1,4,4,30
24.03832991,CHI,1,1,1,3,8,30
24.04106776,CHI,0,1,1,7,3,61
24.04654346,CHI,1,0,1,8,5,27
24.05201916,CHI,1,1,1,6,4,33
24.05475702,CHI,0,0,1,7,8,31
24.06023272,CHI,0,0,1,8,7,49
24.06570842,CHI,1,0,1,4,3,24
24.06844627,CHI,0,0,1,7,8,13
24.07392197,CHI,0,0,1,4,5,44
24.07665982,CHI,0,0,1,3,9,21
24.08213552,CHI,0,1,1,7,3,40
24.08761123,CHI,0,1,1,3,5,40
24.09034908,CHI,0,0,1,1,6,46
24.09582478,CHI,1,1,1,7,3,56
24.10130048,CHI,0,0,1,6,7,40
24.10403833,CHI,1,0,1,7,7,22
24.10951403,CHI,1,1,1,1,8,33
24.11498973,CHI,1,1,1,3,4,36
24.11772758,CHI,0,0,1,9,7,26
24.12320329,CHI,0,0,1,2,7,32
24.12594114,CHI,0,0,1,6,7,31
24.13415469,CHI,1,1,1,5,4,39
24.14236824,CHI,0,0,1,6,10,34
24.14784394,CHI,1,1,1,4,8,53
24.15058179,CHI,0,1,1,9,4,50
24.15879535,CHI,1,0,1,10,1,61
24.1615332,CHI,0,0,1,4,8,17
24.72005476,CHI,1,1,1,5,3,36
24.72826831,CHI,0,1,1,6,7,29
24.73100616,CHI,0,1,1,3,4,31
24.73648186,CHI,1,1,1,7,5,36
24.73921971,CHI,1,0,1,5,5,37
24.74743326,CHI,1,1,1,3,7,26
24.75017112,CHI,0,1,1,3,8,30
24.75564682,CHI,1,1,1,7,7,33
24.75838467,CHI,1,0,1,6,8,49
24.76386037,CHI,0,1,1,10,3,31
24.76933607,CHI,0,1,1,3,6,33
24.77481177,CHI,0,0,1,6,9,25
24.77754962,CHI,0,1,1,7,6,34
24.78576318,CHI,0,1,1,6,9,16
24.78850103,CHI,0,1,1,4,9,47
24.79397673,CHI,0,0,1,4,5,23
24.79671458,CHI,0,0,1,2,8,40
24.80492813,CHI,1,0,1,5,10,33
24.81040383,CHI,1,1,1,7,4,32
24.81587953,CHI,1,1,1,3,9,44
24.82409309,CHI,0,0,1,8,12,38
24.82956879,CHI,1,1,1,3,6,52
24.83504449,CHI,0,0,1,2,7,30
24.84325804,CHI,1,0,1,6,7,28
24.84599589,CHI,0,0,1,5,2,16
24.85420945,CHI,0,0,1,6,6,17
24.862423,CHI,1,0,1,8,6,39
24.8733744,CHI,1,1,1,10,10,25
24.88158795,CHI,1,1,1,11,9,31
24.88706366,CHI,1,1,1,9,5,28
24.89253936,CHI,1,1,1,3,8,45
24.90075291,CHI,1,0,1,4,6,42
24.90622861,CHI,0,0,1,4,7,28
24.91170431,CHI,1,1,1,10,10,36
24.91718001,CHI,1,1,1,3,7,33
24.91991786,CHI,0,0,1,3,4,38
24.92813142,CHI,1,1,1,4,13,42
24.93086927,CHI,1,1,1,7,8,36
24.93908282,CHI,0,0,1,7,5,34
24.94182067,CHI,0,1,1,4,7,37
24.94729637,CHI,1,1,1,1,4,32
24.95003422,CHI,1,1,1,5,4,28
24.95550992,CHI,0,0,1,5,3,37
24.95824778,CHI,0,0,1,2,4,39
24.96372348,CHI,0,1,1,5,8,37
24.97741273,CHI,1,0,1,7,9,20
